Name;parole
CAPTAIN TYPHO;We made it. I guess I was wrong,there was no danger at all.
PADME ;Cordé
CORDÉ; I'm sorry, m'lady I'm not sure I 
AMIDALA;No! No! No!
AMIDALA;I should not have come back.
CAPTAIN TYPHO;M'Lady, you are still in danger.
CAPTAIN TYPHO;This vote is very important. You didyour duty and Cordé did hers. Nowcome. M'Lady,please!
MAS AMEDDA;Order! We shall have order! The motionfor the Republic to commission an armytakes precedent, and that is what wewill vote on at this time.
PALPATINE;My esteemed colleagues, excuseme I have just received sometragic and disturbing news. SenatorAmidala of the Naboo system Hasbeen assassinated!
PALPATINE;This grievous blow is especiallypersonal to me. Before I becameChancellor, I served Amidala whenshe was Queen. She was a greatleader who fought for justice, notonly in this honourable assembly,but also on her home planet. Shewas so loved she could have beenelected queen for life. Shebelieved in public service, andshe fervently believed indemocracy. Her death is a greatloss to us all. We will all mournher as a relentless champion offreedom and as a dear friend.
SENATOR ASK AAK;How many more Senators will diebefore this civil strife ends! Wemust confront these rebels now,and they need an army to do it.
AMBASSADOR DARSANA;Why weren't the Jedi able to stopthis assassination? We are nolonger safe, under their protection.
ORN FREE TAA;The Republic needs more securitynow! Before it comes to war.
PALPATINE;Must I remind the Senator fromMalastare that negotiations arecontinuing with the separatists.Peace is our objective here notwar.
AMIDALA;My noble colleagues, I concur withthe Supreme Chancellor. At allcosts, we do not want war!
PALPATINE;It is with great surprise andjoy the chair recognises theSenator from Naboo, Padmé Amidala.
PADME;Less than an hour ago, anassassination attempt was madeagainst my life. One of mybodyguards and six  others wereruthlessly and senselesslymurdered. I was the target but,more importantly, I believe thissecurity measure before you, wasthe target. I have led theopposition to build an army butthere is someone in this body whowill stop at nothing to assure it'spassage
PADME;"I warn you, if you vote to createthis army, war will follow. Ihave experienced the misery of war first-hand; I do not wish to do itagain."
PADME;Wake up, Senators you must wakeup! If you offer the separatistsviolence, they can only show usviolence in return! Many willlose their lives. All will losetheir freedom. This decisioncould very well destroy the veryfoundation of our great Republic.I pray you do not let fear pushyou into a disastrous decision.Vote down this security measure,which is nothing less than adeclaration of war! Does anyonehere want that? I cannot believethey do.
ORN FREE TAA;My motion to defer the vote mustbe dealt with first. That is therule of law.
PALPATINE;Due to the lateness of the hourand the seriousness of thismotion, we will take up thesematters tomorrow. Until then, theSenate stands adjourned.
PALPATINE;I don't know how much longer I canhold off the vote, my friends.More and more star systems arejoining the separatists.
MACE WINDU;If they do break away -
PALPATINE;No! I will not let that happen!
MACE WINDU;But if they do, you must realisethere aren't enough Jedi toprotect the Republic. We arekeepers of the peace, not soldiers.
PALPATINE;Master Yoda, do you think it willreally come to war?
YODA;Worse than war, I fear Muchworse. 
PALPATINE;What?
MACE WINDU;What do you sense, Master?
YODA;Impossible to see  The Dark Sideclouds everything. But this I amsure of Do their duty the Jedi will.
DAR WAC;The loyalist committee has arrived,my Lord. 
